IDSORT	SITE	INDIV	Family	Mother	Father	WT	GRE	FF	CRI	JUI	FIN
455	MOT	A545-208	A545	P19	P24	234.09	1.76	9.05	5.03	4.43	3.31
456	MOT	A545-209	A545	P19	P24	232.09	1.22	7.41	4.35	4.12	3.7
457	MOT	A545-210	A545	P19	P24	278.54	1.64	7.14	4.48	3.85	3.85
458	MOT	A545-211	A545	P19	P24	204.11	1.36	11.75	5.42	3.97	3.83
459	MOT	A545-212	A545	P19	P24	152.51	2.13	8.09	4.84	4.07	3.55
460	MOT	A545-213	A545	P19	P24	218.15	2.41	8.45	5.26	4.35	3.24
461	MOT	A545-214	A545	P19	P24	166.76	1.98	9.38	4.88	4.07	3.71
462	MOT	A545-215	A545	P19	P24	222.96	5.6	5.26	3.32	3.89	3.77
463	MOT	A545-216	A545	P19	P24	189.68	3.48	9.79	5.32	4	3.75
464	MOT	A545-217	A545	P19	P24	151.63	5.55	5.24	2.96	3.32	3.54
465	MOT	A546-218	A546	P19	P9	229.21	3.09	4.93	2.85	3.46	3.54
466	MOT	A546-219	A546	P19	P9	174.51	3.21	7.64	4.46	4.82	3.79
467	MOT	A546-220	A546	P19	P9	171.42	5.46	9.98	5.26	3.9	3.74
468	MOT	A546-221	A546	P19	P9	204.63	4.21	8.59	5.53	4.14	3.79
469	MOT	A546-222	A546	P19	P9	212.7	6.67	7.99	4.56	4.55	3.29
470	MOT	A546-223	A546	P19	P9	198.61	2.89	8.58	4.52	4.02	3.85
471	MOT	A546-224	A546	P19	P9	189.46	1.48	9	5.07	4.69	3.77
472	MOT	A546-225	A546	P19	P9	208.54	4.01	10.59	5.55	4.71	3.58
473	MOT	A546-226	A546	P19	P9	219.33	5.55	9.82	5.42	4.62	3.63
474	MOT	A546-227	A546	P19	P9	254.31	1.96	11.95	6.1	4.34	3.02
475	MOT	A546-228	A546	P19	P9	152.11	1.08	11.58	5.53	4.48	3.71
476	MOT	A546-229	A546	P19	P9	184.3	5.78	8.06	5.1	4.28	3.54
477	MOT	A546-230	A546	P19	P9	136.56	2.19	12.16	5.35	4.08	3.55
478	MOT	A546-231	A546	P19	P9	146.16	6.67	8.97	5.1	4.35	3.79
479	MOT	A546-232	A546	P19	P9	220.2	2.93	8.08	4.35	3.94	3.55
480	MOT	A551-233	A551	P4	P9	223.61	2.29	6.99	4.64	3.71	3.66
481	MOT	A551-234	A551	P4	P9	175.94	5.01	7.86	4.77	4.32	3.56
482	MOT	A551-235	A551	P4	P9	182.26	3.13	9.88	5.43	4.35	3.85
483	MOT	A551-236	A551	P4	P9	189.46	3.76	9.85	4.88	4	3.38
484	MOT	A551-237	A551	P4	P9	245.74	6.2	5.91	3.82	3.96	3.27
485	MOT	A551-238	A551	P4	P9	219.83	7.2	5.59	3.18	3.37	3.77
486	MOT	A551-239	A551	P4	P9	167.09	1.75	6.98	3.39	3.39	3.63
487	MOT	A551-240	A551	P4	P9	157.23	5.11	6.87	3.18	3.52	3.63
488	MOT	A551-241	A551	P4	P9	165.64	1	12.83	5.72	4.43	3.26
489	MOT	A551-242	A551	P4	P9	134.45	2.52	9.7	4.44	3.72	3.4
490	MOT	A551-243	A551	P4	P9	154.71	6.89	7.12	4.56	4.07	3.88
491	MOT	A551-244	A551	P4	P9	148.35	3.7	7.5	3.46	3.37	3.46
492	MOT	A551-245	A551	P4	P9	203.99	2.62	6.3	2.83	3.52	3.65
493	MOT	A551-246	A551	P4	P9	185.28	4.55	6.73	3.39	3.39	3.54
494	MOT	A551-247	A551	P4	P9	169.78	7.29	9.55	5.26	4.76	3.94
