probIn scale
0.4361615 5.307137
0.3951341 5.123602
0.3924657 5.179946
0.3816888 5.189223
0.3423759 5.392925
0.3376799 5.645311
0.2850086 5.583109
0.2702692 5.792094
0.254199 5.808443
0.2588468 6.22488
0.2957595 6.494512
0.3026153 6.299436
0.262349 6.120868
0.288915 5.871906
0.2658227 5.538241
0.2878947 5.566263
0.3394007 5.770659
0.3104681 5.846003
0.2809658 5.908061
0.2770284 6.018162
0.270634 5.910131
0.2757003 5.979833
0.2832821 5.764055
0.2991788 5.670016
0.2696834 5.829051
0.3311642 5.843274
0.3082966 6.049268
0.3153147 6.123019
0.333866 6.215514
0.3378376 6.259565
0.3368427 6.644208
0.3397929 6.559137
0.3475932 6.523302
0.3288997 6.630449
0.3241111 6.20077
0.3715695 6.144003
0.3681101 6.161313
0.3754019 5.974939
0.381462 6.26106
0.4049674 6.197435
0.4165488 5.882888
0.4151274 5.961258
0.4060913 5.862134
0.4001861 6.153667
0.4178251 5.858477
0.3649063 5.379041
0.3760419 5.14209
0.3927967 5.153354
0.4379109 4.837384
0.4063385 4.702182
0.3871512 4.861091
0.4018246 4.825171
0.3551555 4.574804
0.313102 4.873406
0.32908 4.751613
0.3128295 4.762092
0.2665702 4.651505
0.2586472 4.940496
0.2491683 4.922038
0.2949275 4.993525
0.2989263 4.874887
0.2825894 4.862516
0.2588223 4.989904
0.2698039 5.312043
0.2453976 5.168874
0.2556351 5.52395
0.2557924 5.549107
0.259933 5.799685
0.241569 5.502273
0.2069698 5.230616
0.2023934 5.149643
0.2294641 4.874451
0.2490668 4.768114
0.2329857 4.779381
0.2417253 4.550129
0.2258641 4.691724
0.2551704 4.42768
0.2415697 4.321973
0.2401629 4.186892
0.2088824 4.288408
0.1902778 4.285631
0.2156484 4.310391
0.2248913 4.158109
0.2494224 4.169937
0.2677643 4.282624
0.271869 4.130189
0.2733493 4.153657
0.2784955 4.301131
0.2635942 4.179122
0.2594425 4.081347
0.2944232 4.022067
0.283025 4.151665
0.2571473 3.930673
0.289046 4.104153
0.2818492 4.139676
0.3321378 4.158817
0.3388884 4.248715
0.3398494 4.275189
0.301209 4.316618
0.2543275 4.407964
0.2886935 4.440967
0.2553147 4.363882
0.2434526 4.253166
0.2607983 4.294126
0.2842056 4.153964
0.3303555 4.129698
0.3090677 4.38669
0.3443281 4.524415
0.3889614 4.591636
0.3622239 4.380758
0.3879712 4.599547
0.3846656 4.287388
0.4238555 4.204266
0.4331553 4.148381
0.4701802 4.041149
0.4273369 4.096828
0.4032862 4.090697
0.3950777 4.149076
0.3523224 4.176463
0.3555622 4.110309
0.379042 4.367591
0.393326 4.474651
0.3684301 4.677032
0.3374537 4.532424
0.3342849 4.823856
0.3656546 4.682876
0.4006396 4.590075
0.3957166 4.496289
0.4284452 4.381889
0.4817659 4.535222
0.4777512 4.529945
0.4971619 4.315884
0.4847897 4.603507
0.4309065 4.750087
0.3964069 4.801972
0.3737673 4.948723
0.3585608 4.863787
0.3975781 5.018051
0.4285425 5.171004
0.4387518 5.440283
0.4063599 5.272883
0.4178868 5.520823
0.4102289 5.248404
0.3819224 5.337107
0.3723802 5.239474
0.3750367 5.501676
0.391968 5.511001
0.3615858 5.623274
0.3252554 5.689612
0.3242793 5.970529
0.2929114 5.835557
0.2900124 5.837937
0.3353568 6.171882
0.2992036 5.953334
0.2989959 5.873825
0.3290491 6.037048
0.3116053 6.430191
0.2980084 6.631153
0.2949549 6.152846
0.2886936 6.416187
0.3079864 6.77063
0.2878481 6.712703
0.2681643 6.973059
0.2266752 6.592918
0.2609809 6.761994
0.2595129 6.705471
0.2827657 7.0791
0.2821944 6.963892
0.2899388 6.981654
0.2608147 7.125793
0.2473334 7.104086
0.2491909 7.532248
0.1953995 7.52228
0.2400281 7.308914
0.2191396 7.047992
0.2128545 7.433972
0.168383 7.50337
0.1506018 7.418608
0.1310699 7.881619
0.1218496 8.179973
0.1318678 7.973158
0.1787177 7.865173
0.222895 8.143067
0.1969568 8.148016
0.1850754 8.304545
0.2096545 8.292957
0.2385334 7.704603
0.250502 7.371671
0.2721144 7.275463
0.2649294 7.641969
0.2684514 8.020588
0.2376449 8.256741
0.2390984 8.36267
0.2714234 8.409149
0.2712862 8.305833
0.2626134 8.518339
0.2432297 8.680419
0.2420941 8.397988
0.2495023 8.726135
0.2590329 9.051891
0.2897709 9.235071
0.2842184 9.33427
0.2642177 10.14771
0.2660762 9.931498
0.2582325 10.54214
0.2739417 11.18604
0.2763532 11.27268
0.2838772 10.93565
0.2883467 11.02403
0.2663675 11.02188
0.244655 10.72886
0.2446107 10.53102
0.2577987 10.2527
0.2679342 9.992503
0.235576 10.20977
0.2309415 10.01966
0.2682443 10.76515
0.2990445 10.41027
0.2712034 10.14449
0.2400234 10.2286
0.2541157 9.770311
0.2522624 9.851361
0.2455671 9.673989
0.2243693 9.447307
0.2033111 9.655181
0.1830101 9.175342
0.1919991 9.212076
0.188777 8.708468
0.1903261 9.069852
0.2261248 9.623142
0.2464449 10.22511
0.2736076 10.08181
0.2194663 10.81093
0.214539 10.84397
0.2207988 10.35378
0.2282331 10.83467
0.1761088 10.28601
0.1609575 10.33837
0.1922376 10.53773
0.2062908 10.50518
0.2122566 10.44635
0.2385765 10.89275
0.2668697 11.57727
0.2320228 11.63489
0.1967255 12.47628
0.159627 12.05744
0.1527931 11.74346
0.1365439 11.53936
0.1514139 11.00531
0.1882437 10.58543
0.1885918 9.955777
0.1835417 9.560141
0.1779866 8.999535
0.1510312 8.520903
0.1658515 8.708378
0.1493386 9.0812
0.1457468 9.688828
0.1602011 9.725196
0.1442898 9.658694
0.178985 9.785398
0.166829 10.15806
0.1537313 10.34523
0.1886563 10.00565
0.2352033 10.53513
0.2258186 11.0223
0.2251167 11.09579
0.2257844 11.09693
0.2368173 11.6204
0.2310238 11.96153
0.2068847 11.85446
0.2132178 11.81481
0.2085215 11.51497
0.2342951 12.43041
0.2683437 12.13391
0.2743381 12.22228
0.2454107 11.99755
0.2273897 12.41198
0.2380548 11.94519
0.2297762 11.63736
0.2244863 12.52879
0.2148188 13.25484
0.2222068 13.15905
0.2454098 13.22922
0.2365956 12.94829
0.2201769 13.29647
0.2453638 13.40576
0.2588372 13.72841
0.2754921 13.37985
0.2955824 12.91871
0.2621331 13.04404
0.2576345 12.97131
0.2737423 13.05537
0.2778117 13.52748
0.25075 13.23339
0.2448462 12.99176
0.2574886 12.78815
0.2438012 12.68259
0.2690093 12.09248
0.2402883 12.00839
0.2837657 11.83621
0.2472047 11.19381
0.2664867 11.23552
0.2594563 11.43936
0.2424687 11.11904
0.2213747 11.52269
0.2248897 11.43037
0.2013257 12.12905
0.2082568 11.61657
0.1969574 11.72293
0.1699624 12.09327
0.155324 12.22217
0.1412762 11.95591
0.154203 12.15716
0.1956702 12.74145
0.1840094 12.33679
0.2027189 12.17881
0.2071321 12.42907
0.1880891 11.65154
0.1748051 11.41008
0.157224 11.64656
0.1427803 12.11128
0.1318026 12.14474
0.1862776 11.91799
0.1684662 11.98148
0.1508582 12.02948
0.1376615 12.84423
0.1310245 12.41654
0.1124292 12.25645
0.1149926 12.51062
0.122657 12.247
0.1266732 12.97808
0.1517075 13.0604
0.1542135 12.91719
0.1457171 12.57573
0.1712055 12.31085
0.1867925 12.336
0.2009256 12.34718
0.2037216 12.74147
0.1901957 12.22689
0.2026099 12.27731
0.2305196 12.32186
0.2107625 11.46835
0.2272139 11.46411
0.2238541 11.58094
0.2233837 11.94657
0.2224761 12.28963
0.197487 12.03079
0.167811 12.23305
0.1511893 11.93196
0.190443 12.49347
0.1870522 13.01447
0.172493 13.92158
0.2018364 13.73942
0.1833367 14.05554
0.1926447 15.22848
0.1761514 15.64927
0.1992113 15.23261
0.188361 14.93655
0.2057064 14.86397
0.2291194 15.21851
0.2072231 15.08317
0.2207309 15.61779
0.1913415 15.13881
0.1740299 14.61042
0.189036 15.07763
0.1843001 15.32527
0.198409 15.05385
0.1582923 15.28727
0.1659714 15.32134
0.1446932 16.13034
0.1590778 15.86192
0.1684255 15.18818
0.1905145 15.36872
0.199463 15.44921
0.2028045 15.37961
0.219756 15.04494
0.1902705 15.50424
0.1798114 16.27297
0.195522 16.3968
0.1875409 17.2788
0.1828853 16.97864
0.1733257 16.56806
0.1944852 16.66243
0.1937343 16.15412
0.1612885 15.7309
0.1655098 15.46771
0.1850513 15.09195
0.1755478 15.14993
0.1943139 14.9891
0.1511614 15.03758
0.1767866 14.22317
0.1757021 14.32921
0.2114323 14.5097
0.2404421 15.87264
0.227946 14.87819
0.2226604 14.91701
0.226862 14.82439
0.2238003 14.8625
0.2074906 14.3011
0.1638113 14.62165
0.1491179 14.81339
0.1564807 16.15747
0.149841 16.26261
0.188442 16.2421
0.2059243 15.45345
0.2023958 15.0814
0.2291601 15.04628
0.2471762 15.10529
0.2637584 14.81847
0.2598539 15.1426
0.2568089 14.96748
0.240287 15.15477
0.225811 14.82844
0.2212709 14.62391
0.2425094 14.23532
0.2579995 14.37564
0.2566968 14.35964
0.2574381 14.3265
0.2252057 14.29504
0.2044826 13.42255
0.2176704 13.95657
0.1798247 13.93751
0.168755 13.44004
0.1634057 13.02598
0.1342697 12.66354
0.1449877 12.66143
0.1433159 12.23346
0.1610461 11.91077
0.1933888 11.68537
0.149833 11.65234
0.1836523 12.14337
0.2060205 11.92775
0.1798606 11.87859
0.2005157 11.63936
0.2432693 10.97468
0.2273651 11.09707
0.213893 11.15238
0.228358 10.43515
0.2076164 10.50109
0.2112144 10.97484
0.2028086 11.25462
0.1626311 11.35583
0.19474 11.69741
0.2069303 11.84117
0.2373435 12.45533
0.2085298 11.84017
0.2072275 12.11914
0.2316725 11.51019
0.2448944 11.45657
0.2496969 11.36615
0.2711923 11.62884
0.2191266 11.24369
0.1646663 11.19454
0.1713408 10.94314
